"SpaceName","PbaName"
ad-00000021,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:be386a1f-1e29-3c35-96a7-d09a6e1fb089
ad-00000001,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:dedff0b6-b69c-364b-aa82-3280d1bda307
ad-00000022,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:bab9b4f7-5241-35cf-93c9-73433f4b4bd3
ad-00000007,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:3cb8c550-410f-38aa-b232-4f3be055a181
ad-00000011,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:4b6106fd-ab3d-3c75-9612-9f86061551f8
ad-00000024,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:eff3ae85-5cc9-3534-84b6-dd9b5e22a92c
ad-00000016,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:c28f5240-0c3f-36f9-a04d-12676ad0b3d6
ad-00000008,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:ab4f97c3-3ca9-3f4e-b2da-8981187e7834
ad-00000002,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:7f0e7e8c-a094-3235-8f73-a33dcd8ef692
ad-00000015,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:b4d294ee-2113-3e90-aff9-d4d8f4cf136e
ad-00000003,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:44bff39e-8c5c-3b7c-8bc4-c1513d3ccf0e
ad-00000017,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:0fff6896-b0e6-38f0-a40f-ff8d7c6f2288
ad-00000025,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:ddec8819-83b3-38f4-8348-1cde598b413f
