SpaceName,PbaName
dev2-ad00000156,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:47af10c0-45a0-3c72-97c5-1050684f7c1d
dev2-ad00000185,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:68a72878-1b47-3a07-ad2a-44455be49bcc
dev2-ad00000305,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:369cc3c7-66b6-3551-a20b-7aaf18c306f4
dev2-ad00000318,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:26ae2f8c-a479-31d3-b2f5-c14098151797
dev2-ad00000358,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:5d2a2d78-f196-30d7-b97d-52d8d9c92207
dev2-ad00000793,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:21122b91-ed13-37aa-a0cb-e5c8b387aa46
dev2-ad00000403,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:fe679e23-cf5f-30e8-ae75-68e62944a089
dev2-ad00000402,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:48316932-cdea-3d2e-9b62-9ea63a517192
dev2-ad00000674,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:92e55f72-6995-35b3-8e60-f8a0d6cb7f93
dev2-ad00000443,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:a4161be3-e8dc-3ea7-be4a-83b1c65d535a
dev2-ad00000529,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:3da4626e-4a9d-3bbe-8ebd-a6a9ed4ac98a
dev2-ad00000576,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:e29cecb9-a04d-3cfc-8b8d-ab110b00fedb
dev2-ad00000575,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:fa5b0266-2adb-35b0-931c-735beb76651c
dev2-ad00000579,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:0dc2dbbf-fa1c-3700-8b3c-f6678ddd882b
dev2-ad00000601,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:92387602-57f7-3906-82f1-fd2b8b8f0dad
dev2-ad00000647,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:ab143313-a950-3c65-9e26-ff259f5bc627
dev2-ad00000663,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:c2aa1466-6195-326f-b322-9bfd8cd4e100
dev2-ad00000667,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:4276e9ac-97f2-3b5c-9934-a93b42e1acc9
dev2-ad00000694,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:53433a5e-38e8-3f29-8e50-ca34a5986639
dev2-ad00000771,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:553b6db9-af16-3a56-919b-49515e8b1c73
dev2-ad00000743,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:8e51f5c5-b380-3870-928c-21cf472fe857
dev2-ad00000737,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:7c406459-e13d-3a72-b71c-9f13b59e7c74
dev2-ad00000798,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:d08d0c06-deb0-3238-a5eb-34348aaaffd4
dev2-ad00000817,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:f919d627-bb29-3a75-a1bc-71aecdfe7aa1
dev2-ad00000845,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:c6cf1b50-adea-3143-8b1b-5173bbc77a09
dev2-ad00000981,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:a101d3fb-0adb-3466-b329-dad401d92fbb
